Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,263.98,264.7398,245.821,248.3,1001212.0,0.0,1.0,263.98,264.7398,245.821,248.3,1001212.0
2018-03-26,254.0,261.87,250.15,261.52,870834.0,0.0,1.0,254.0,261.87,250.15,261.52,870834.0
2018-03-23,260.13,265.84,250.28,250.92,979925.0,0.0,1.0,260.13,265.84,250.28,250.92,979925.0
2018-03-22,266.55,269.8,260.0,260.13,704850.0,0.0,1.0,266.55,269.8,260.0,260.13,704850.0
2018-03-21,270.67,271.99,267.2,270.14,571794.0,0.0,1.0,270.67,271.99,267.2,270.14,571794.0
2018-03-20,266.92,270.67,264.77,270.4,536505.0,0.0,1.0,266.92,270.67,264.77,270.4,536505.0
2018-03-19,268.65,274.4,262.13,265.39,861923.0,0.0,1.0,268.65,274.4,262.13,265.39,861923.0
2018-03-16,273.76,274.15,267.5741,270.41,792775.0,0.0,1.0,273.76,274.15,267.5741,270.41,792775.0
2018-03-15,272.23,276.14,269.7617,272.87,555647.0,0.0,1.0,272.23,276.14,269.7617,272.87,555647.0
2018-03-14,271.29,274.07,269.27,272.48,607787.0,0.0,1.0,271.29,274.07,269.27,272.48,607787.0
2018-03-13,276.56,276.98,267.29,269.71,833874.0,0.0,1.0,276.56,276.98,267.29,269.71,833874.0
2018-03-12,272.07,277.315,271.13,275.61,814856.0,0.0,1.0,272.07,277.315,271.13,275.61,814856.0
2018-03-09,270.0,273.22,269.99,271.74,816920.0,0.0,1.0,270.0,273.22,269.99,271.74,816920.0
2018-03-08,264.92,268.6899,263.57,268.18,609138.0,0.0,1.0,264.92,268.6899,263.57,268.18,609138.0
2018-03-07,252.46,263.92,252.13,262.9,679264.0,0.0,1.0,252.46,263.92,252.13,262.9,679264.0
2018-03-06,256.01,257.39,252.16,255.97,741077.0,0.0,1.0,256.01,257.39,252.16,255.97,741077.0
2018-03-05,252.84,256.64,247.6404,255.49,818321.0,0.0,1.0,252.84,256.64,247.6404,255.49,818321.0
2018-03-02,243.65,254.89,241.3,253.71,1016135.0,0.0,1.0,243.65,254.89,241.3,253.71,1016135.0
2018-03-01,255.0,259.8375,244.15,245.55,1833437.0,0.0,1.0,255.0,259.8375,244.15,245.55,1833437.0
2018-02-28,264.9,267.78,262.44,262.52,649310.0,0.0,1.0,264.9,267.78,262.44,262.52,649310.0
2018-02-27,265.48,267.27,263.5,263.87,614593.0,0.0,1.0,265.48,267.27,263.5,263.87,614593.0
2018-02-26,266.8,268.4,262.42,266.58,714167.0,0.0,1.0,266.8,268.4,262.42,266.58,714167.0
