Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,209.21,209.68,203.5,204.92,992505.0,0.0,1.0,209.21,209.68,203.5,204.92,992505.0
2018-03-26,205.07,208.3,204.78,207.9,1003522.0,0.0,1.0,205.07,208.3,204.78,207.9,1003522.0
2018-03-23,207.5,207.99,202.17,202.29,1248081.0,0.0,1.0,207.5,207.99,202.17,202.29,1248081.0
2018-03-22,212.55,215.6145,207.21,207.36,1321606.0,0.0,1.0,212.55,215.6145,207.21,207.36,1321606.0
2018-03-21,215.79,217.54,212.9,213.0,883007.0,0.0,1.0,215.79,217.54,212.9,213.0,883007.0
2018-03-20,216.89,219.0,214.22,215.63,1053803.0,0.0,1.0,216.89,219.0,214.22,215.63,1053803.0
2018-03-19,221.75,222.98,215.2,215.6,1305485.0,0.0,1.0,221.75,222.98,215.2,215.6,1305485.0
2018-03-16,210.35,223.5,207.54,221.88,5739806.0,0.0,1.0,210.35,223.5,207.54,221.88,5739806.0
2018-03-15,202.39,206.5,201.0,206.14,2226244.0,0.0,1.0,202.39,206.5,201.0,206.14,2226244.0
2018-03-14,208.84,209.49,201.25,201.99,1160930.0,0.0,1.0,208.84,209.49,201.25,201.99,1160930.0
2018-03-13,208.49,213.3,207.6,208.4,1427346.0,0.0,1.0,208.49,213.3,207.6,208.4,1427346.0
2018-03-12,205.69,208.31,203.02,207.62,891865.0,0.0,1.0,205.69,208.31,203.02,207.62,891865.0
2018-03-09,207.47,208.75,202.81,205.92,1061123.0,0.0,1.0,207.47,208.75,202.81,205.92,1061123.0
2018-03-08,202.35,206.96,200.13,206.54,1003787.0,0.0,1.0,202.35,206.96,200.13,206.54,1003787.0
2018-03-07,197.76,202.13,196.07,201.07,921920.0,0.0,1.0,197.76,202.13,196.07,201.07,921920.0
2018-03-06,198.4,202.89,198.4,200.22,1266054.0,0.0,1.0,198.4,202.89,198.4,200.22,1266054.0
2018-03-05,194.0,198.34,192.5,197.88,1314496.0,0.0,1.0,194.0,198.34,192.5,197.88,1314496.0
2018-03-02,198.08,199.08,191.701,194.0,2207951.0,0.0,1.0,198.08,199.08,191.701,194.0,2207951.0
2018-03-01,203.62,204.84,199.54,200.71,808077.0,0.0,1.0,203.62,204.84,199.54,200.71,808077.0
2018-02-28,204.49,208.98,203.33,203.35,990075.0,0.0,1.0,204.49,208.98,203.33,203.35,990075.0
2018-02-27,198.9,204.89,198.29,203.06,1186055.0,0.0,1.0,198.9,204.89,198.29,203.06,1186055.0
2018-02-26,206.9,207.04,198.32,198.93,1619056.0,0.0,1.0,206.9,207.04,198.32,198.93,1619056.0
2018-02-23,205.0,207.21,203.77,207.11,755715.0,0.0,1.0,205.0,207.21,203.77,207.11,755715.0
2018-02-22,201.26,204.84,199.54,204.05,865818.0,0.0,1.0,201.26,204.84,199.54,204.05,865818.0
2018-02-21,202.21,204.8399,199.83,201.24,724172.0,0.0,1.0,202.21,204.8399,199.83,201.24,724172.0
2018-02-20,200.15,205.0,199.5,201.13,959292.0,0.0,1.0,200.15,205.0,199.5,201.13,959292.0
2018-02-16,204.45,205.7305,201.63,203.15,1025309.0,0.0,1.0,204.45,205.7305,201.63,203.15,1025309.0
2018-02-15,207.24,208.25,203.38,204.0,1238830.0,0.0,1.0,207.24,208.25,203.38,204.0,1238830.0
2018-02-14,204.74,208.64,204.7,206.76,1292917.0,0.0,1.0,204.74,208.64,204.7,206.76,1292917.0
2018-02-13,208.44,211.25,206.26,206.79,1059110.0,0.0,1.0,208.44,211.25,206.26,206.79,1059110.0
2018-02-12,219.97,222.22,204.75,209.48,2641540.0,0.0,1.0,219.97,222.22,204.75,209.48,2641540.0
2018-02-09,211.0,220.44,205.5,218.48,1265899.0,0.0,1.0,211.0,220.44,205.5,218.48,1265899.0
